n,t_ms,temp_C,pressure_hPa,altitude_m,max_altitude_m,descent_count,teensy_trigger,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,mag_x_uT,mag_y_uT,mag_z_uT,humidity_pct,sound_db,pitch_deg,roll_deg,heading_deg,t_s,dt_s,pitch_logged_deg,roll_logged_deg,pressure_ref_hpa,altitude_baro_m,altitude_logged_m,a_lin_ms2,altitude_fused_m,v_fused_ms,v_baro_ms,a_baro_ms2,pos_x_m,pos_y_m,pos_z_m,yaw_deg
72,46658,32.4,951.43,-0.39,0.12,0,0,-0.0302,-0.0854,0.9913,-0.24,0.12,-0.18,121,108,36,,,1.7385,-4.9238,317.8725,35.981,0.5,1.7385,-4.9238,951.34,-0.6206788742610403,-0.25,0.0583319443542393,-0.6206788742610403,0.08983720973757973,-0.0886631285082018,-0.5319878256463717,0.0,0.0,-0.6206788742610403,317.8725
73,47158,32.4,951.47,-0.73,0.12,0,0,-0.0311,-0.0858,0.9915,-0.18,0.12,-0.24,121,103,38,,,1.7899000000000003,-4.9458,319.1604,36.481,0.5,1.7899,-4.9458,951.34,-0.9753359155924279,-0.59,0.05955702356159105,-0.9753359155924279,-0.008920823262145106,-0.26599391282318585,0.26599014006780664,0.0,0.0,-0.9753359155924279,319.1604
74,47658,32.42,951.46,-0.68,0.12,0,0,-0.0314,-0.0865,0.9908,-0.18,0.18,-0.24,117,106,31,,,1.8083000000000002,-4.9895,317.5216,36.981,0.5,1.8083,-4.9895,951.34,-0.8866727870842261,-0.54,0.05263778892350052,-0.8866727870842261,0.0707077179862717,0.17732701155960484,0.26599391282318585,0.0,0.0,-0.8866727870842261,317.5216
75,48158,32.44,951.45,-0.56,0.12,0,0,-0.0304,-0.0859,0.9912,-0.18,0.12,-0.24,121,106,34,,,1.7501,-4.953000000000001,318.4214,37.481,0.5,1.7501,-4.953,951.34,-0.7980089040328231,-0.42000000000000004,0.05731253299938191,-0.7980089040328231,0.06624265632397511,0.0,3.0182121779631643e-06,0.0,0.0,-0.7980089040328231,318.4214
76,48658,32.44,951.46,-0.73,0.12,0,0,-0.0306,-0.0851,0.9905,-0.24,0.18,-0.18,120,105,30,,,1.763,-4.9106,318.5181,37.981,0.5,1.763,-4.9106,951.34,-0.8866727870842261,-0.59,0.05005673496021265,-0.8866727870842261,0.11995735912664855,0.1773300297717828,0.0,0.0,0.0,-0.8866727870842261,318.5181
77,49158,32.45,951.43,-0.41,0.12,0,0,-0.0298,-0.0851,0.9911,-0.18,0.12,-0.18,120,105,34,,,1.7159,-4.9076,318.4483,38.481,0.5,1.7159,-4.9076,951.34,-0.6206788742610403,-0.26999999999999996,0.056663525784547725,-0.6206788742610403,0.09885941467928161,0.0,-0.44332394259496866,0.0,0.0,-0.6206788742610403,318.4483
78,49658,32.46,951.46,-0.66,0.12,0,0,-0.0312,-0.0861,0.9913,-0.24,0.18,-0.18,122,109,35,,,1.7960000000000003,-4.964,317.8705,38.981,0.5,1.796,-4.964,951.34,-0.8866727870842261,-0.52,0.05759545959337156,-0.8866727870842261,-0.0035598746237503476,-0.26599391282318585,0.17732852064600735,0.0,0.0,-0.8866727870842261,317.8705
79,50158,32.48,951.46,-0.65,0.12,0,0,-0.0289,-0.085,0.9905,-0.24,0.12,-0.18,124,106,30,,,1.6651,-4.9048,319.1667,39.481,0.5,1.6651,-4.9048,951.34,-0.8866727870842261,-0.51,0.05160045887129924,-0.8866727870842261,0.07393641008993529,0.17732852064600735,0.7093208737386081,0.0,0.0,-0.8866727870842261,319.1667
80,50658,32.49,951.44,-0.52,0.12,0,0,-0.0302,-0.0848,0.9912,-0.18,0.06,-0.12,120,107,34,,,1.7388,-4.8899,317.9296,39.981,0.5,1.7388,-4.8899,951.34,-0.7093442664382188,-0.38,0.057183759891435246,-0.7093442664382188,0.21612784699557602,0.44332696091542223,3.0182810806245186e-06,0.0,0.0,-0.7093442664382188,317.9296
81,51158,32.51,951.41,-0.26,0.12,0,0,-0.0304,-0.0854,0.9902,-0.24,0.12,-0.18,122,108,33,,,1.752,-4.9293,318.1527,40.481,0.5,1.752,-4.9293,951.34,-0.4433458261688039,-0.12,0.04739902005607148,-0.4433458261688039,0.21899541765810385,0.17733153892708797,-0.6206600090076586,0.0,0.0,-0.4433458261688039,318.1527
82,51658,32.52,951.42,-0.36,0.12,0,0,-0.0306,-0.0854,0.991,-0.24,0.18,-0.18,121,106,36,,,1.7621,-4.9253,318.3954,40.981,0.5,1.7621,-4.9253,951.34,-0.5320127275111308,-0.21999999999999997,0.05502744595938558,-0.5320127275111308,0.10522841106111899,-0.17733304809223638,-0.7979787204739308,0.0,0.0,-0.5320127275111308,318.3954
83,52158,32.53,951.43,-0.39,0.12,0,0,-0.0304,-0.0859,0.9905,-0.18,0.12,-0.12,118,108,33,,,1.7514,-4.9565,317.2046,41.481,0.5,1.7514,-4.9565,951.34,-0.6206788742610403,-0.25,0.050474059782043335,-0.6206788742610403,-0.11990543321418715,-0.6206471815468428,0.17733304809223638,0.0,0.0,-0.6206788742610403,317.2046
